id,sku,name,category,unit,price,emoji,stock_note,min_qty,max_qty,is_active
prod_001,EGGS-TRAY-30,Fresh Eggs,Eggs & Dairy,tray of 30,7.5,🥚,Popular item,1,5,True
prod_002,MILK-FRESH-1L,Fresh Milk,Eggs & Dairy,1L bottle,3.2,🥛,Keep chilled,1,6,True
prod_003,YOGHURT-PLAIN-500G,Plain Yoghurt,Eggs & Dairy,500g tub,4.8,🍶,Limited stock,1,4,True
prod_004,APPLE-FUJI-6PC,Fuji Apples,Fruits,pack of 6,4.9,🍎,Sweet and crisp,1,5,True
prod_005,BANANA-BUNCH,Cavendish Bananas,Fruits,1 bunch,2.8,🍌,Ripeness may vary,1,5,True
prod_006,GRAPES-GREEN-500G,Green Grapes,Fruits,500g pack,5.9,🍇,Supplier availability,1,4,True
prod_007,BROCCOLI-EA,Broccoli,Vegetables,1 head,2.4,🥦,Fresh produce,1,8,True
prod_008,SPINACH-200G,Baby Spinach,Vegetables,200g pack,3.2,🥬,Keep chilled,1,6,True
prod_009,CARROT-1KG,Australian Carrots,Vegetables,1kg bag,2.6,🥕,Weekly cooking staple,1,6,True
prod_010,RICE-JASMINE-5KG,Jasmine Rice,Pantry,5kg bag,13.9,🍚,Heavy item,1,3,True
prod_011,NOODLES-5PK,Instant Noodles,Pantry,pack of 5,4.5,🍜,Family staple,1,10,True
prod_012,OIL-2L,Cooking Oil,Pantry,2L bottle,7.2,🫙,Limited to 3 per buyer,1,3,True
prod_013,DUMPLINGS-800G,Frozen Dumplings,Frozen,800g pack,8.9,🥟,Frozen item,1,5,True
prod_014,FISHBALL-1KG,Frozen Fishballs,Frozen,1kg pack,6.8,🍥,Frozen item,1,5,True
prod_015,CHICKEN-WINGS-1KG,Chicken Wings,Frozen,1kg pack,9.9,🍗,May require substitution,1,4,True
